"","naics","date_formated","count"
"1","Accommodation and Food Services",2020-02-27,1
"2","Accommodation and Food Services",2020-02-28,16
"3","Accommodation and Food Services",2020-02-29,3
"4","Accommodation and Food Services",2020-03-01,7
"5","Accommodation and Food Services",2020-03-02,15
"6","Accommodation and Food Services",2020-03-03,48
"7","Accommodation and Food Services",2020-03-04,19
"8","Accommodation and Food Services",2020-03-05,139
"9","Accommodation and Food Services",2020-03-06,21
"10","Accommodation and Food Services",2020-03-07,13
"11","Accommodation and Food Services",2020-03-08,15
"12","Accommodation and Food Services",2020-03-09,93
"13","Accommodation and Food Services",2020-03-10,75
"14","Accommodation and Food Services",2020-03-11,66
"15","Accommodation and Food Services",2020-03-12,54
"16","Accommodation and Food Services",2020-03-13,36
"17","Accommodation and Food Services",2020-03-14,17
"18","Accommodation and Food Services",2020-03-15,14
"19","Accommodation and Food Services",2020-03-16,42
"20","Accommodation and Food Services",2020-03-17,27
"21","Accommodation and Food Services",2020-03-18,28
"22","Accommodation and Food Services",2020-03-19,21
"23","Accommodation and Food Services",2020-03-20,18
"24","Accommodation and Food Services",2020-03-21,9
"25","Accommodation and Food Services",2020-03-22,7
"26","Accommodation and Food Services",2020-03-23,52
"27","Accommodation and Food Services",2020-03-24,37
"28","Accommodation and Food Services",2020-03-25,32
"29","Accommodation and Food Services",2020-03-26,12
"30","Accommodation and Food Services",2020-03-27,33
"31","Accommodation and Food Services",2020-03-28,40
"32","Accommodation and Food Services",2020-03-29,18
"33","Accommodation and Food Services",2020-03-30,30
"34","Accommodation and Food Services",2020-03-31,30
"35","Accommodation and Food Services",2020-04-01,30
"36","Accommodation and Food Services",2020-04-02,60
"37","Accommodation and Food Services",2020-04-03,23
"38","Accommodation and Food Services",2020-04-04,27
"39","Accommodation and Food Services",2020-04-05,19
"40","Accommodation and Food Services",2020-04-06,41
"41","Accommodation and Food Services",2020-04-07,24
"42","Accommodation and Food Services",2020-04-08,39
"43","Accommodation and Food Services",2020-04-09,44
"44","Accommodation and Food Services",2020-04-10,40
"45","Accommodation and Food Services",2020-04-11,51
"46","Accommodation and Food Services",2020-04-12,47
"47","Accommodation and Food Services",2020-04-13,100
"48","Accommodation and Food Services",2020-04-14,119
"49","Accommodation and Food Services",2020-04-15,18
"50","Accommodation and Food Services",2020-04-16,32
"51","Accommodation and Food Services",2020-04-17,33
"52","Accommodation and Food Services",2020-04-18,12
"53","Accommodation and Food Services",2020-04-19,69
"54","Accommodation and Food Services",2020-04-20,38
"55","Accommodation and Food Services",2020-04-21,26
"56","Accommodation and Food Services",2020-04-22,37
"57","Accommodation and Food Services",2020-04-23,28
"58","Accommodation and Food Services",2020-04-24,41
"59","Accommodation and Food Services",2020-04-25,28
